effective_defense,structural_role,attack,outcome,blocks,mean,sd_across_blocks
dp_qml,repetition,lira_online_fixed_variance,balanced_accuracy,8,0.50875,0.03729706997300763
dp_qml,repetition,lira_online_fixed_variance,tpr_at_0_1_fpr,8,0.013750000000000002,0.010606601717798213
dp_qml,repetition,lira_online_fixed_variance,tpr_at_1_fpr,8,0.0175,0.014880476182856896
dp_qml,repetition,lira_online_fixed_variance,tpr_at_5_fpr,8,0.0625,0.03453776401067595
dp_qml,repetition,lira_online_fixed_variance,tpr_at_10_fpr,8,0.12125,0.06401729676981281
dp_qml,repetition,loss,auc,8,0.5153568749999999,0.024288951182658575
dp_qml,repetition,loss,balanced_accuracy,8,0.5090625,0.01752434531077922
dp_qml,repetition,loss,tpr_at_0_1_fpr,8,0.00125,0.0035355339059327385
dp_qml,repetition,loss,tpr_at_1_fpr,8,0.0075,0.007071067811865476
dp_qml,repetition,loss,tpr_at_5_fpr,8,0.05500000000000001,0.024494897427831782
dp_qml,repetition,loss,tpr_at_10_fpr,8,0.09875,0.03440826312717007
dp_qml,repetition,margin,auc,8,0.4946075,0.03114533478021111
dp_qml,repetition,margin,balanced_accuracy,8,0.49368749999999995,0.014704074993979447
dp_qml,repetition,margin,tpr_at_0_1_fpr,8,0.0,0.0
dp_qml,repetition,margin,tpr_at_1_fpr,8,0.0075,0.007071067811865476
dp_qml,repetition,margin,tpr_at_5_fpr,8,0.051250000000000004,0.02587745847533828
dp_qml,repetition,margin,tpr_at_10_fpr,8,0.09125,0.028504385627478455
dp_qml,repetition,maximum_probability,auc,8,0.49460625,0.03114402152557879
dp_qml,repetition,maximum_probability,balanced_accuracy,8,0.49368749999999995,0.014704074993979447
dp_qml,repetition,maximum_probability,tpr_at_0_1_fpr,8,0.0,0.0
dp_qml,repetition,maximum_probability,tpr_at_1_fpr,8,0.0075,0.007071067811865476
dp_qml,repetition,maximum_probability,tpr_at_5_fpr,8,0.051250000000000004,0.02587745847533828
dp_qml,repetition,maximum_probability,tpr_at_10_fpr,8,0.09125,0.028504385627478455
dp_qml,stress,artifact_confidence_tau0.9,auc,8,0.49170937499999995,0.03154253822080135
dp_qml,stress,artifact_confidence_tau0.9,balanced_accuracy,8,0.4958125,0.01204437479845734
dp_qml,stress,artifact_confidence_tau0.9,tpr_at_0_1_fpr,8,0.0,0.0
dp_qml,stress,artifact_confidence_tau0.9,tpr_at_1_fpr,8,0.00625,0.005175491695067657
dp_qml,stress,artifact_confidence_tau0.9,tpr_at_5_fpr,8,0.0525,0.021213203435596427
dp_qml,stress,artifact_confidence_tau0.9,tpr_at_10_fpr,8,0.10500000000000001,0.030237157840738178
dp_qml,stress,artifact_loss_tau0.5,auc,8,0.5168112499999999,0.024855716466668776
dp_qml,stress,artifact_loss_tau0.5,balanced_accuracy,8,0.5036875000000001,0.0071461153283244976
dp_qml,stress,artifact_loss_tau0.5,tpr_at_0_1_fpr,8,0.0,0.0
dp_qml,stress,artifact_loss_tau0.5,tpr_at_1_fpr,8,0.01,0.009258200997725514
dp_qml,stress,artifact_loss_tau0.5,tpr_at_5_fpr,8,0.05625,0.024458419526091332
dp_qml,stress,artifact_loss_tau0.5,tpr_at_10_fpr,8,0.115,0.03422613871631697
dp_qml,stress,confidence,auc,8,0.5168112499999999,0.024855716466668776
dp_qml,stress,confidence,balanced_accuracy,8,0.514,0.011087315790062603
dp_qml,stress,confidence,tpr_at_0_1_fpr,8,0.0,0.0
dp_qml,stress,confidence,tpr_at_1_fpr,8,0.01,0.009258200997725514
dp_qml,stress,confidence,tpr_at_5_fpr,8,0.05625,0.024458419526091332
dp_qml,stress,confidence,tpr_at_10_fpr,8,0.115,0.03422613871631697
dp_qml,stress,correctness,auc,8,0.5176875000000001,0.02004091796443323
dp_qml,stress,correctness,balanced_accuracy,8,0.5155625,0.02054339918319264
dp_qml,stress,correctness,tpr_at_0_1_fpr,8,0.0,0.0
dp_qml,stress,correctness,tpr_at_1_fpr,8,0.0,0.0
dp_qml,stress,correctness,tpr_at_5_fpr,8,0.0,0.0
dp_qml,stress,correctness,tpr_at_10_fpr,8,0.0,0.0
dp_qml,stress,entropy,auc,8,0.49170875,0.031543374417504155
dp_qml,stress,entropy,balanced_accuracy,8,0.49325,0.016894631438080322
dp_qml,stress,entropy,tpr_at_0_1_fpr,8,0.0,0.0
dp_qml,stress,entropy,tpr_at_1_fpr,8,0.00625,0.005175491695067657
dp_qml,stress,entropy,tpr_at_5_fpr,8,0.0525,0.021213203435596427
dp_qml,stress,entropy,tpr_at_10_fpr,8,0.10500000000000001,0.030237157840738178
dp_qml,stress,global_true_class_log_odds,auc,8,0.5122875,0.026421497605440276
dp_qml,stress,global_true_class_log_odds,balanced_accuracy,8,0.5137499999999999,0.019410968916716006
dp_qml,stress,global_true_class_log_odds,tpr_at_0_1_fpr,8,0.0025,0.004629100498862756
dp_qml,stress,global_true_class_log_odds,tpr_at_1_fpr,8,0.0125,0.012817398889233115
dp_qml,stress,global_true_class_log_odds,tpr_at_5_fpr,8,0.051250000000000004,0.033567628964311945
dp_qml,stress,global_true_class_log_odds,tpr_at_10_fpr,8,0.10375000000000001,0.05705573715987852
dp_qml,stress,label_only_hsj,auc,8,0.5354687499999999,0.09074822287712936
dp_qml,stress,label_only_hsj,balanced_accuracy,8,0.515625,0.044194173824159216
dp_qml,stress,label_only_hsj,tpr_at_0_1_fpr,8,0.05,0.09636241116594317
dp_qml,stress,label_only_hsj,tpr_at_1_fpr,8,0.05,0.09636241116594317
dp_qml,stress,label_only_hsj,tpr_at_5_fpr,8,0.11875,0.08425090080061035
dp_qml,stress,label_only_hsj,tpr_at_10_fpr,8,0.18125,0.10999188281738922
dp_qml,stress,learned_pv_stats_logistic,auc,8,0.5072862499999999,0.02591120383016916
dp_qml,stress,learned_pv_stats_logistic,balanced_accuracy,8,0.5026875,0.023305329709256275
dp_qml,stress,learned_pv_stats_logistic,tpr_at_0_1_fpr,8,0.005,0.005345224838248488
dp_qml,stress,learned_pv_stats_logistic,tpr_at_1_fpr,8,0.015,0.010690449676496974
dp_qml,stress,learned_pv_stats_logistic,tpr_at_5_fpr,8,0.04625,0.021339098923270936
dp_qml,stress,learned_pv_stats_logistic,tpr_at_10_fpr,8,0.08625,0.028753881725529062
dp_qml,stress,lira_offline,auc,8,0.533925,0.04392411475650767
dp_qml,stress,lira_offline,balanced_accuracy,8,0.535,0.020354009783964275
dp_qml,stress,lira_offline,tpr_at_0_1_fpr,8,0.011250000000000001,0.024748737341529166
dp_qml,stress,lira_offline,tpr_at_1_fpr,8,0.0225,0.03058944729337694
dp_qml,stress,lira_offline,tpr_at_5_fpr,8,0.07,0.0407080195679286
dp_qml,stress,lira_offline,tpr_at_10_fpr,8,0.1125,0.05035587637718448
dp_qml,stress,lira_offline_density_surprise,auc,8,0.492425,0.037939754875328316
dp_qml,stress,lira_offline_density_surprise,balanced_accuracy,8,0.490625,0.026109316892087186
dp_qml,stress,lira_offline_density_surprise,tpr_at_0_1_fpr,8,0.0025,0.007071067811865476
dp_qml,stress,lira_offline_density_surprise,tpr_at_1_fpr,8,0.02,0.02563479777846623
dp_qml,stress,lira_offline_density_surprise,tpr_at_5_fpr,8,0.05,0.05264435935053794
dp_qml,stress,lira_offline_density_surprise,tpr_at_10_fpr,8,0.09875,0.05111262075065218
dp_qml,stress,lira_offline_density_surprise_fixed_variance,auc,8,0.484175,0.03768598640646906
dp_qml,stress,lira_offline_density_surprise_fixed_variance,balanced_accuracy,8,0.47875,0.02615202805574686
dp_qml,stress,lira_offline_density_surprise_fixed_variance,tpr_at_0_1_fpr,8,0.00875,0.017268882005337976
dp_qml,stress,lira_offline_density_surprise_fixed_variance,tpr_at_1_fpr,8,0.027500000000000004,0.02251983252919207
dp_qml,stress,lira_offline_density_surprise_fixed_variance,tpr_at_5_fpr,8,0.0475,0.03150963571444682
dp_qml,stress,lira_offline_density_surprise_fixed_variance,tpr_at_10_fpr,8,0.09875,0.04086126352846736
dp_qml,stress,lira_offline_fixed_variance,auc,8,0.5403,0.044836655922199584
dp_qml,stress,lira_offline_fixed_variance,balanced_accuracy,8,0.525,0.034846602621858486
dp_qml,stress,lira_offline_fixed_variance,tpr_at_0_1_fpr,8,0.018750000000000003,0.023566016694748032
dp_qml,stress,lira_offline_fixed_variance,tpr_at_1_fpr,8,0.0375,0.03453776401067595
dp_qml,stress,lira_offline_fixed_variance,tpr_at_5_fpr,8,0.07375,0.051530157605591924
dp_qml,stress,lira_offline_fixed_variance,tpr_at_10_fpr,8,0.12625,0.07652030542840993
dp_qml,stress,lira_offline_one_sided_z,auc,8,0.533925,0.04392411475650767
dp_qml,stress,lira_offline_one_sided_z,balanced_accuracy,8,0.535625,0.01989930005947802
dp_qml,stress,lira_offline_one_sided_z,tpr_at_0_1_fpr,8,0.011250000000000001,0.024748737341529166
