effective_defense,structural_role,outcome,blocks,mean,sd_across_blocks
logitguard_continuous,low,accuracy,8,0.583,0.06615242140045108
logitguard_continuous,low,balanced_accuracy,8,0.6192113830819185,0.03293270044656919
logitguard_continuous,low,task_roc_auc,8,0.6543606673191643,0.04274415439363459
logitguard_continuous,low,task_average_precision,8,0.3509357895589752,0.055257860971826285
logitguard_continuous,low,minority_class_recall,8,0.684106334841629,0.10390319217481542
logitguard_continuous,low,prediction_collapse,8,0.0,0.0
logitguard_continuous,low,nll,8,0.50767382979393,0.013927441272510827
logitguard_continuous,repetition,accuracy,8,0.665375,0.07289461571337078
logitguard_continuous,repetition,balanced_accuracy,8,0.6255928385968785,0.0184497635528869
logitguard_continuous,repetition,task_roc_auc,8,0.6625752756173073,0.021814329510314975
logitguard_continuous,repetition,task_average_precision,8,0.36840847379423197,0.02810203380156636
logitguard_continuous,repetition,minority_class_recall,8,0.5542986425339367,0.13839793884323187
logitguard_continuous,repetition,prediction_collapse,8,0.0,0.0
logitguard_continuous,repetition,nll,8,0.5338514372706413,0.032417741941034306
logitguard_continuous,stress,accuracy,8,0.5996874999999999,0.11111574965516172
logitguard_continuous,stress,balanced_accuracy,8,0.5947755780993151,0.022786565092000433
logitguard_continuous,stress,task_roc_auc,8,0.626675322666837,0.02085605225526597
logitguard_continuous,stress,task_average_precision,8,0.3287168400153875,0.020472646924862656
logitguard_continuous,stress,minority_class_recall,8,0.5859728506787331,0.18267241892136846
logitguard_continuous,stress,prediction_collapse,8,0.0,0.0
logitguard_continuous,stress,nll,8,0.5731390863656998,0.037655361345483744
logitguard_quantized,low,accuracy,8,0.583,0.06615242140045108
logitguard_quantized,low,balanced_accuracy,8,0.6192113830819185,0.03293270044656919
logitguard_quantized,low,task_roc_auc,8,0.6542228949691855,0.04254895153972522
logitguard_quantized,low,task_average_precision,8,0.3448935477670203,0.05276074880827237
logitguard_quantized,low,minority_class_recall,8,0.684106334841629,0.10390319217481542
logitguard_quantized,low,prediction_collapse,8,0.0,0.0
logitguard_quantized,low,nll,8,0.5076336786150932,0.013963278991287263
logitguard_quantized,repetition,accuracy,8,0.665375,0.07289461571337078
logitguard_quantized,repetition,balanced_accuracy,8,0.6255928385968785,0.0184497635528869
logitguard_quantized,repetition,task_roc_auc,8,0.6621473463484338,0.02257293173940019
logitguard_quantized,repetition,task_average_precision,8,0.3630580939295599,0.02654094535104359
logitguard_quantized,repetition,minority_class_recall,8,0.5542986425339367,0.13839793884323187
logitguard_quantized,repetition,prediction_collapse,8,0.0,0.0
logitguard_quantized,repetition,nll,8,0.5338685065507889,0.03241006941940762
logitguard_quantized,stress,accuracy,8,0.5996874999999999,0.11111574965516172
logitguard_quantized,stress,balanced_accuracy,8,0.5947755780993151,0.022786565092000433
logitguard_quantized,stress,task_roc_auc,8,0.6267415768272353,0.020974596478797507
logitguard_quantized,stress,task_average_precision,8,0.32501418015763195,0.019259787872676945
logitguard_quantized,stress,minority_class_recall,8,0.5859728506787331,0.18267241892136846
