target_id,block_id,structural_role,training_defense,defense,effective_defense,accuracy,balanced_accuracy,mean_entropy,minimum_class_recall,minority_class_label,minority_class_recall,minority_prevalence,nll,predicted_class_0_fraction,predicted_class_1_fraction,predicted_minority_fraction,prediction_collapse,task_average_precision,task_roc_auc
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b05__none,petsv2_b05,repetition,none,logitguard_continuous,logitguard_continuous,0.679,0.5994952340568893,0.5174182057380676,0.45701357466063347,1.0,0.45701357466063347,0.221,0.5532592535018921,0.698,0.302,0.302,0.0,0.32543293363130044,0.6218669950452779
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b05__none,petsv2_b05,repetition,none,logitguard_quantized,logitguard_quantized,0.679,0.5994952340568893,0.5173839330673218,0.45701357466063347,1.0,0.45701357466063347,0.221,0.5532317161560059,0.698,0.302,0.302,0.0,0.3220781082771602,0.6209252783763848
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b05__none,petsv2_b05,repetition,none,measurementguard_continuous,measurementguard_continuous,0.679,0.5994952340568893,0.500389039516449,0.45701357466063347,1.0,0.45701357466063347,0.221,0.5852060914039612,0.698,0.302,0.302,0.0,0.32833454083119706,0.6071422347945794
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b05__none,petsv2_b05,repetition,none,memgq_lattice,memgq_lattice,0.679,0.5994952340568893,0.494453102350235,0.45701357466063347,1.0,0.45701357466063347,0.221,0.5932782888412476,0.698,0.302,0.302,0.0,0.30726848680570207,0.6119771548394217
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b05__none,petsv2_b05,repetition,none,memgq_lattice_sticky,memgq_lattice_sticky,0.677,0.5965909420942268,0.4946896731853485,0.45248868778280543,1.0,0.45248868778280543,0.221,0.5968163013458252,0.698,0.302,0.302,0.0,0.3057347502549344,0.6043504841454702
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b05__none,petsv2_b05,repetition,none,memguard,memguard,0.679,0.5994952340568893,0.4833090305328369,0.45701357466063347,1.0,0.45701357466063347,0.221,0.5436388254165649,0.698,0.302,0.302,0.0,0.32389728398016315,0.6260782183911384
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b05__none,petsv2_b05,repetition,none,none,none,0.679,0.5994952340568893,0.43885958194732666,0.45701357466063347,1.0,0.45701357466063347,0.221,0.574076771736145,0.698,0.302,0.302,0.0,0.32613301687860374,0.624335643213541
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b06__dp_qml,petsv2_b06,repetition,dp_qml,none,dp_qml,0.69,0.6106070551060356,0.23667898774147034,0.4683257918552036,1.0,0.4683257918552036,0.221,0.614334225654602,0.704,0.296,0.296,0.0,0.37788401667215943,0.6820068947891194
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b06__hamp_train,petsv2_b06,repetition,hamp_train,hamp_output,hamp_full,0.667,0.5804488873657491,0.6732435822486877,0.4253393665158371,1.0,0.4253393665158371,0.221,0.6138857007026672,0.7,0.3,0.3,0.0,0.33357038453372645,0.6161404573678984
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b06__hamp_train,petsv2_b06,repetition,hamp_train,none,hamp_train,0.667,0.5804488873657491,0.6760502457618713,0.4253393665158371,1.0,0.4253393665158371,0.221,0.6081351637840271,0.7,0.3,0.3,0.0,0.36575639433907847,0.6481138075848489
