attack,effective_defense,structural_contrast,contrast,mean_auc_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks,p_exact_sign_flip,p_holm_all_secondary
entropy,logitguard_continuous,stress-low,structural_difference_in_differences,-0.012532500000000057,0.018951972381334274,-0.025148171875000104,-0.0006050000000000569,8,0.1171875,1.0
entropy,logitguard_quantized,stress-low,structural_difference_in_differences,-0.01186187499999998,0.0194538192977075,-0.02455999999999999,0.00031371875000002215,8,0.140625,1.0
entropy,measurementguard_continuous,stress-low,structural_difference_in_differences,-0.024002499999999982,0.017265786978878206,-0.03402124999999998,-0.011743468750000015,8,0.0234375,1.0
entropy,memgq_lattice,stress-low,structural_difference_in_differences,-0.018845000000000008,0.04192439240551291,-0.04643007812500003,0.008031875000000008,8,0.2421875,1.0
entropy,memgq_lattice_sticky,stress-low,structural_difference_in_differences,-0.013712500000000051,0.0324699415943863,-0.035196875000000044,0.006783843749999928,8,0.3046875,1.0
entropy,memguard,stress-low,structural_difference_in_differences,0.000981875000000021,0.009925383021576547,-0.004877499999999972,0.007823703125000055,8,0.8203125,1.0
entropy,dp_qml,stress-repetition,structural_difference_in_differences,-0.007334375000000004,0.016630502835259405,-0.01836317187499999,0.003332656249999999,8,0.25,1.0
entropy,dynanoise,stress-repetition,structural_difference_in_differences,-0.008921250000000061,0.012987232672898396,-0.017406593750000022,-0.0005776718750000271,8,0.09375,1.0
entropy,hamp_full,stress-repetition,structural_difference_in_differences,-0.003745624999999954,0.0229439611472169,-0.019158749999999954,0.010556640624999999,8,0.6484375,1.0
entropy,hamp_output,stress-repetition,structural_difference_in_differences,0.008283749999999986,0.033193897325304485,-0.013708203125000014,0.02946749999999996,8,0.5234375,1.0
entropy,hamp_train,stress-repetition,structural_difference_in_differences,-0.006674374999999982,0.01822461374027288,-0.018995828124999975,0.004319375000000021,8,0.40625,1.0
entropy,l2,stress-repetition,structural_difference_in_differences,-0.006813125000000017,0.015935897692563726,-0.016915000000000013,0.0034976093750000124,8,0.2734375,1.0
entropy,lattice_round,stress-repetition,structural_difference_in_differences,0.0010337500000000138,0.0014282650564333404,0.00018750000000005568,0.002014437500000018,8,0.078125,1.0
entropy,logitguard_continuous,stress-repetition,structural_difference_in_differences,-0.010779375000000029,0.018344366094545615,-0.02340375000000007,-0.00036250000000004334,8,0.1796875,1.0
entropy,logitguard_quantized,stress-repetition,structural_difference_in_differences,-0.00927,0.017158412763756112,-0.021159343750000042,0.0007943749999999999,8,0.21875,1.0
entropy,measurementguard_continuous,stress-repetition,structural_difference_in_differences,-0.005804375000000028,0.03598515243794502,-0.02476479687500006,0.020426874999999928,8,0.7265625,1.0
entropy,memgq_lattice,stress-repetition,structural_difference_in_differences,0.007098125000000004,0.05218626495116862,-0.02284062499999999,0.044423609374999985,8,0.734375,1.0
entropy,memgq_lattice_sticky,stress-repetition,structural_difference_in_differences,0.0013606249999999973,0.0527175723913695,-0.03430700000000005,0.03477145312499995,8,0.9375,1.0
entropy,memguard,stress-repetition,structural_difference_in_differences,-0.00016437500000000133,0.009588187463712029,-0.006069031249999983,0.0060319062499999895,8,0.9609375,1.0
global_true_class_log_odds,dp_qml,repetition-low,structural_difference_in_differences,-0.040675000000000044,0.04171707427078612,-0.06738750000000004,-0.01294375000000008,8,0.0390625,1.0
global_true_class_log_odds,dynanoise,repetition-low,structural_difference_in_differences,-0.00024374999999998703,0.004324303205637405,-0.003175000000000025,0.002418750000000039,8,0.9140625,1.0
