effective_defense,outcome,contrast,mean_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
lattice_round,minimum_class_recall,high-low,0.16233031674208143,0.032649026447198665,0.13744343891402713,0.19004524886877827,4
logitguard_continuous,minimum_class_recall,high-low,0.15723981900452488,0.03701475472641939,0.12895927601809953,0.18778280542986425,4
logitguard_quantized,minimum_class_recall,high-low,0.15723981900452488,0.03701475472641939,0.12895927601809953,0.18778280542986425,4
measurementguard_continuous,minimum_class_recall,high-low,0.15723981900452488,0.03701475472641939,0.12895927601809953,0.18778280542986425,4
memgq_lattice,minimum_class_recall,high-low,0.15723981900452488,0.03701475472641939,0.12895927601809953,0.18778280542986425,4
memgq_lattice_sticky,minimum_class_recall,high-low,0.16515837104072398,0.036387143534886326,0.13687782805429866,0.19570135746606335,4
memguard,minimum_class_recall,high-low,0.15723981900452488,0.03701475472641939,0.12895927601809953,0.18778280542986425,4
none,minimum_class_recall,high-low,0.15723981900452488,0.03701475472641939,0.12895927601809953,0.18778280542986425,4
dp_qml,predicted_minority_fraction,high-low,-0.0031250000000000028,0.16540927775269038,-0.13450000000000004,0.12825,4
dynanoise,predicted_minority_fraction,high-low,0.037125,0.01565447220445327,0.025499999999999995,0.050624999999999996,4
hamp_full,predicted_minority_fraction,high-low,0.08025,0.019228884523029406,0.066375,0.09837499999999999,4
hamp_output,predicted_minority_fraction,high-low,0.075125,0.029098611077964985,0.056499999999999995,0.103125,4
hamp_train,predicted_minority_fraction,high-low,0.08025,0.019228884523029406,0.066375,0.09837499999999999,4
l2,predicted_minority_fraction,high-low,-0.11062500000000004,0.4149898342128395,-0.4570000000000001,0.23575000000000002,4
lattice_round,predicted_minority_fraction,high-low,0.0765,0.026860752037126585,0.059125,0.10262500000000001,4
logitguard_continuous,predicted_minority_fraction,high-low,0.075125,0.029098611077964985,0.056499999999999995,0.103125,4
logitguard_quantized,predicted_minority_fraction,high-low,0.075125,0.029098611077964985,0.056499999999999995,0.103125,4
measurementguard_continuous,predicted_minority_fraction,high-low,0.075125,0.029098611077964985,0.056499999999999995,0.103125,4
memgq_lattice,predicted_minority_fraction,high-low,0.075125,0.029098611077964985,0.056499999999999995,0.103125,4
memgq_lattice_sticky,predicted_minority_fraction,high-low,0.07775,0.028265113951064597,0.06,0.10525,4
memguard,predicted_minority_fraction,high-low,0.075125,0.029098611077964985,0.056499999999999995,0.103125,4
none,predicted_minority_fraction,high-low,0.075125,0.029098611077964985,0.056499999999999995,0.103125,4
dp_qml,prediction_collapse,high-low,0.0,0.0,0.0,0.0,4
dynanoise,prediction_collapse,high-low,0.0,0.0,0.0,0.0,4
hamp_full,prediction_collapse,high-low,-0.25,0.5,-0.75,0.0,4
hamp_output,prediction_collapse,high-low,-0.25,0.5,-0.75,0.0,4
hamp_train,prediction_collapse,high-low,-0.25,0.5,-0.75,0.0,4
l2,prediction_collapse,high-low,0.0,0.0,0.0,0.0,4
lattice_round,prediction_collapse,high-low,-0.25,0.5,-0.75,0.0,4
logitguard_continuous,prediction_collapse,high-low,-0.25,0.5,-0.75,0.0,4
logitguard_quantized,prediction_collapse,high-low,-0.25,0.5,-0.75,0.0,4
measurementguard_continuous,prediction_collapse,high-low,-0.25,0.5,-0.75,0.0,4
memgq_lattice,prediction_collapse,high-low,-0.25,0.5,-0.75,0.0,4
memgq_lattice_sticky,prediction_collapse,high-low,-0.25,0.5,-0.75,0.0,4
memguard,prediction_collapse,high-low,-0.25,0.5,-0.75,0.0,4
none,prediction_collapse,high-low,-0.25,0.5,-0.75,0.0,4
