effective_defense,baseline_defense,outcome,contrast,mean_difference_in_differences,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
memguard,none,minimum_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
dp_qml,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,-0.13099999999999998,0.0,-0.13099999999999998,-0.13099999999999998,1
dynanoise,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,-0.06699999999999998,0.0,-0.06699999999999998,-0.06699999999999998,1
hamp_full,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,-0.0024999999999999745,0.0,-0.0024999999999999745,-0.0024999999999999745,1
hamp_output,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
hamp_train,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,-0.0024999999999999745,0.0,-0.0024999999999999745,-0.0024999999999999745,1
l2,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,-0.13099999999999998,0.0,-0.13099999999999998,-0.13099999999999998,1
lattice_round,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,-0.003999999999999976,0.0,-0.003999999999999976,-0.003999999999999976,1
logitguard_continuous,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
logitguard_quantized,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
measurementguard_continuous,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
memgq_lattice,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
memgq_lattice_sticky,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,-0.0005000000000000004,0.0,-0.0005000000000000004,-0.0005000000000000004,1
memguard,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
dp_qml,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
dynanoise,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
hamp_full,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
hamp_output,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
hamp_train,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
l2,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
lattice_round,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
logitguard_continuous,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
logitguard_quantized,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
measurementguard_continuous,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
memgq_lattice,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
memgq_lattice_sticky,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
memguard,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
