target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction,evaluation_mean_probability_std,evaluation_mean_label_flip_rate,effective_defense
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memguard,maximum_probability,adaptive_defended_calibration,0.5191,0.505,0.06,0.08,0.8241149187088013,as_defined,,,memguard
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memguard,entropy,adaptive_defended_calibration,0.5191,0.505,0.06,0.08,-0.4650959819555282,as_defined,,,memguard
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memguard,margin,adaptive_defended_calibration,0.5191,0.505,0.06,0.08,0.6482298374176025,as_defined,,,memguard
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memguard,correctness,adaptive_defended_calibration,0.51,0.51,0.0,0.0,0.5,as_defined,,,memguard
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memguard,learned_pv_stats_logistic,adaptive_defended_calibration,0.5321,0.5249999999999999,0.06,0.08,0.5637440845122927,,,,memguard
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_continuous,loss,adaptive_defended_calibration,0.5497,0.53,0.08,0.12,-0.2237449213862419,as_defined,,,logitguard_continuous
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_continuous,confidence,adaptive_defended_calibration,0.5497,0.53,0.08,0.12,0.7995190620422363,as_defined,,,logitguard_continuous
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_continuous,maximum_probability,adaptive_defended_calibration,0.5458,0.535,0.03,0.11,0.8103112876415253,as_defined,,,logitguard_continuous
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_continuous,entropy,adaptive_defended_calibration,0.5458,0.535,0.03,0.11,-0.4857712686061859,as_defined,,,logitguard_continuous
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_continuous,margin,adaptive_defended_calibration,0.5458,0.535,0.03,0.11,0.6206225454807281,as_defined,,,logitguard_continuous
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_continuous,correctness,adaptive_defended_calibration,0.51,0.51,0.0,0.0,0.5,as_defined,,,logitguard_continuous
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_continuous,learned_pv_stats_logistic,adaptive_defended_calibration,0.5363,0.51,0.08,0.12,0.4685446608372412,,,,logitguard_continuous
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_quantized,loss,adaptive_defended_calibration,0.5539,0.525,0.06,0.06,-0.2184550166130066,as_defined,,,logitguard_quantized
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_quantized,confidence,adaptive_defended_calibration,0.5539,0.525,0.06,0.06,0.8037611842155457,as_defined,,,logitguard_quantized
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_quantized,maximum_probability,adaptive_defended_calibration,0.5511,0.55,0.03,0.06,0.8099936544895172,as_defined,,,logitguard_quantized
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_quantized,entropy,adaptive_defended_calibration,0.5511,0.55,0.03,0.06,-0.4862244725227356,as_defined,,,logitguard_quantized
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_quantized,margin,adaptive_defended_calibration,0.5511,0.55,0.03,0.06,0.6199873089790344,as_defined,,,logitguard_quantized
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_quantized,correctness,adaptive_defended_calibration,0.51,0.51,0.0,0.0,0.5,as_defined,,,logitguard_quantized
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_quantized,learned_pv_stats_logistic,adaptive_defended_calibration,0.54095,0.515,0.06,0.06,0.4748020996568618,,,,logitguard_quantized
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,measurementguard_continuous,loss,adaptive_defended_calibration,0.4995,0.505,0.13,0.15,-0.1705027669668197,as_defined,,,measurementguard_continuous
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,measurementguard_continuous,confidence,adaptive_defended_calibration,0.4995,0.505,0.13,0.15,0.8432407975196838,as_defined,,,measurementguard_continuous
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,measurementguard_continuous,maximum_probability,adaptive_defended_calibration,0.5124,0.51,0.13,0.17,0.8432407975196838,as_defined,,,measurementguard_continuous
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,measurementguard_continuous,entropy,adaptive_defended_calibration,0.5124,0.51,0.13,0.17,-0.4342563599348068,as_defined,,,measurementguard_continuous
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,measurementguard_continuous,margin,adaptive_defended_calibration,0.5124,0.51,0.13,0.17,0.6864815950393677,as_defined,,,measurementguard_continuous
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,measurementguard_continuous,correctness,adaptive_defended_calibration,0.51,0.51,0.0,0.0,0.5,as_defined,,,measurementguard_continuous
