effective_defense,attack,outcome,contrast,mean_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
l2,lira_online_fixed_variance,auc,high-low,0.07139999999999996,0.0,0.07139999999999996,0.07139999999999996,1
l2,loss,auc,high-low,0.015600000000000003,0.0,0.015600000000000003,0.015600000000000003,1
l2,margin,auc,high-low,0.027300000000000046,0.0,0.027300000000000046,0.027300000000000046,1
l2,maximum_probability,auc,high-low,0.027300000000000046,0.0,0.027300000000000046,0.027300000000000046,1
lattice_round,confidence,auc,high-low,0.04389999999999994,0.0,0.04389999999999994,0.04389999999999994,1
lattice_round,correctness,auc,high-low,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,1
lattice_round,entropy,auc,high-low,0.021600000000000064,0.0,0.021600000000000064,0.021600000000000064,1
lattice_round,global_true_class_log_odds,auc,high-low,0.05259999999999998,0.0,0.05259999999999998,0.05259999999999998,1
lattice_round,label_only_hsj,auc,high-low,-0.16625,0.0,-0.16625,-0.16625,1
lattice_round,learned_pv_stats_logistic,auc,high-low,0.09600000000000003,0.0,0.09600000000000003,0.09600000000000003,1
lattice_round,lira_offline,auc,high-low,0.002100000000000102,0.0,0.002100000000000102,0.002100000000000102,1
lattice_round,lira_offline_fixed_variance,auc,high-low,-0.046699999999999964,0.0,-0.046699999999999964,-0.046699999999999964,1
lattice_round,lira_online,auc,high-low,0.033299999999999996,0.0,0.033299999999999996,0.033299999999999996,1
lattice_round,lira_online_fixed_variance,auc,high-low,-0.12370000000000003,0.0,-0.12370000000000003,-0.12370000000000003,1
lattice_round,loss,auc,high-low,0.04389999999999994,0.0,0.04389999999999994,0.04389999999999994,1
lattice_round,margin,auc,high-low,0.021600000000000064,0.0,0.021600000000000064,0.021600000000000064,1
lattice_round,maximum_probability,auc,high-low,0.021600000000000064,0.0,0.021600000000000064,0.021600000000000064,1
lattice_round,nearby_query_logistic_q32,auc,high-low,0.06289999999999996,0.0,0.06289999999999996,0.06289999999999996,1
logitguard_continuous,confidence,auc,high-low,0.08070000000000005,0.0,0.08070000000000005,0.08070000000000005,1
logitguard_continuous,correctness,auc,high-low,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,1
logitguard_continuous,entropy,auc,high-low,0.03399999999999992,0.0,0.03399999999999992,0.03399999999999992,1
logitguard_continuous,global_true_class_log_odds,auc,high-low,0.050899999999999945,0.0,0.050899999999999945,0.050899999999999945,1
logitguard_continuous,learned_pv_stats_logistic,auc,high-low,0.026899999999999924,0.0,0.026899999999999924,0.026899999999999924,1
logitguard_continuous,lira_offline,auc,high-low,-0.03939999999999999,0.0,-0.03939999999999999,-0.03939999999999999,1
logitguard_continuous,lira_offline_fixed_variance,auc,high-low,-0.03310000000000013,0.0,-0.03310000000000013,-0.03310000000000013,1
logitguard_continuous,lira_online,auc,high-low,0.07040000000000007,0.0,0.07040000000000007,0.07040000000000007,1
logitguard_continuous,lira_online_fixed_variance,auc,high-low,0.014100000000000001,0.0,0.014100000000000001,0.014100000000000001,1
logitguard_continuous,loss,auc,high-low,0.08070000000000005,0.0,0.08070000000000005,0.08070000000000005,1
logitguard_continuous,margin,auc,high-low,0.03399999999999992,0.0,0.03399999999999992,0.03399999999999992,1
logitguard_continuous,maximum_probability,auc,high-low,0.03399999999999992,0.0,0.03399999999999992,0.03399999999999992,1
logitguard_continuous,nearby_query_logistic_q32,auc,high-low,-0.0803000000000001,0.0,-0.0803000000000001,-0.0803000000000001,1
logitguard_quantized,confidence,auc,high-low,0.08159999999999995,0.0,0.08159999999999995,0.08159999999999995,1
logitguard_quantized,correctness,auc,high-low,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,1
logitguard_quantized,entropy,auc,high-low,0.03984999999999994,0.0,0.03984999999999994,0.03984999999999994,1
logitguard_quantized,global_true_class_log_odds,auc,high-low,0.05579999999999996,0.0,0.05579999999999996,0.05579999999999996,1
