target_id,experiment,dataset,architecture,run_id,model_seed,data_seed,attacker_seed,membership_convention,n_wires,depth,target_train_acc,target_test_acc,target_gap_acc,attack_acc,attack_auc,attack_f1,attack_precision,attack_recall,tpr@fpr=0.001,tpr@fpr=0.01,tpr@fpr=0.05,tpr@fpr=0.1,tuning_method,cv_best_auc,final_epochs,attack_results_json
CREDIT_QNN_z_r1_d6_b01,satml_credit_factorial,credit_default,QNN,-1,30261,20261,2026,"1=member,0=nonmember",6,6,0.825,0.789,0.03599999999999992,0.9090909090909091,0.49624999999999997,0.0,0.0,0.0,0.0,0.0,0.05,0.1,optuna,0.55474609375,7,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d6_b01/attack_results.json
CREDIT_QNN_z_r1_d6_b02,satml_credit_factorial,credit_default,QNN,-1,30262,20262,2026,"1=member,0=nonmember",6,6,0.825,0.77,0.05499999999999994,0.9090909090909091,0.5063125,0.0,0.0,0.0,0.0,0.05,0.05,0.1,optuna,0.5834374999999999,9,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d6_b02/attack_results.json
CREDIT_QNN_z_r1_d6_b03,satml_credit_factorial,credit_default,QNN,-1,30263,20263,2026,"1=member,0=nonmember",6,6,0.785,0.7775,0.007500000000000062,0.9090909090909091,0.587375,0.0,0.0,0.0,0.0,0.025,0.075,0.075,optuna,0.5436132812500001,10,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d6_b03/attack_results.json
CREDIT_QNN_z_r1_d6_b04,satml_credit_factorial,credit_default,QNN,-1,30264,20264,2026,"1=member,0=nonmember",6,6,0.825,0.777,0.04799999999999993,0.9090909090909091,0.60925,0.0,0.0,0.0,0.0,0.0,0.05,0.125,optuna,0.60724609375,16,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d6_b04/attack_results.json
CREDIT_QNN_z_r1_d6_b05,satml_credit_factorial,credit_default,QNN,-1,30265,20265,2026,"1=member,0=nonmember",6,6,0.805,0.773,0.03200000000000003,0.9090909090909091,0.44837499999999997,0.0,0.0,0.0,0.0,0.0,0.05,0.125,optuna,0.5593945312499999,10,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d6_b05/attack_results.json
CREDIT_QNN_z_r1_d6_b06,satml_credit_factorial,credit_default,QNN,-1,30266,20266,2026,"1=member,0=nonmember",6,6,0.83,0.7895,0.04049999999999998,0.9090909090909091,0.471125,0.0,0.0,0.0,0.0,0.0,0.0,0.05,optuna,0.609375,16,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d6_b06/attack_results.json
CREDIT_QNN_z_r1_d6_b07,satml_credit_factorial,credit_default,QNN,-1,30267,20267,2026,"1=member,0=nonmember",6,6,0.81,0.767,0.04300000000000004,0.9090909090909091,0.5278125,0.0,0.0,0.0,0.0,0.025,0.05,0.075,optuna,0.5359667968749999,26,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d6_b07/attack_results.json
CREDIT_QNN_z_r1_d6_b08,satml_credit_factorial,credit_default,QNN,-1,30268,20268,2026,"1=member,0=nonmember",6,6,0.79,0.776,0.014000000000000012,0.9090909090909091,0.45675,0.0,0.0,0.0,0.0,0.0,0.075,0.125,optuna,0.54126953125,13,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d6_b08/attack_results.json
CREDIT_QNN_z_r5_d2_b01,satml_credit_factorial,credit_default,QNN,-1,30261,20261,2026,"1=member,0=nonmember",6,2,0.805,0.768,0.03700000000000003,0.9090909090909091,0.48990625,0.0,0.0,0.0,0.0,0.025,0.05,0.125,optuna,0.5818359375,67,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r5_d2_b01/attack_results.json
CREDIT_QNN_z_r5_d2_b02,satml_credit_factorial,credit_default,QNN,-1,30262,20262,2026,"1=member,0=nonmember",6,2,0.83,0.7605,0.0695,0.9090909090909091,0.518,0.0,0.0,0.0,0.0,0.025,0.025,0.025,optuna,0.5657421874999999,5,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r5_d2_b02/attack_results.json
