attack,mode,queries,shots,fm_kind,model_seed,effect,effect_auc,effect_scope,exact_effect_auc,change_vs_exact
correctness,ideal_shot,1,512,eff_su2,45,repetition_main_5_minus_1,0.0535000000000001,encoder_specific,0.0837500000000001,-0.03025
correctness,ideal_shot,1,512,eff_su2,45,depth_6_minus_2_at_repetition1,0.0,encoder_specific,0.019999999999999907,-0.019999999999999907
correctness,ideal_shot,1,512,eff_su2,45,depth_6_minus_2_at_repetition5,0.0129999999999999,encoder_specific,0.012499999999999956,0.0004999999999999449
correctness,ideal_shot,1,512,eff_su2,45,depth_main_6_minus_2,0.00649999999999995,encoder_specific,0.016249999999999876,-0.009749999999999925
correctness,ideal_shot,1,512,eff_su2,45,repetition_by_depth_interaction,0.0129999999999999,encoder_specific,-0.007499999999999951,0.02049999999999985
correctness,ideal_shot,1,512,z,43,repetition_5_minus_1_at_depth2,0.08174999999999999,encoder_specific,0.08250000000000002,-0.0007500000000000284
correctness,ideal_shot,1,512,z,43,repetition_5_minus_1_at_depth6,0.05999999999999994,encoder_specific,0.057499999999999996,0.0024999999999999467
correctness,ideal_shot,1,512,z,43,repetition_main_5_minus_1,0.07087500000000002,encoder_specific,0.07000000000000006,0.0008749999999999591
correctness,ideal_shot,1,512,z,43,depth_6_minus_2_at_repetition1,0.07325000000000015,encoder_specific,0.08000000000000007,-0.006749999999999923
correctness,ideal_shot,1,512,z,43,depth_6_minus_2_at_repetition5,0.0515000000000001,encoder_specific,0.05500000000000005,-0.0034999999999999476
correctness,ideal_shot,1,512,z,43,depth_main_6_minus_2,0.06237500000000018,encoder_specific,0.06750000000000012,-0.005124999999999935
correctness,ideal_shot,1,512,z,43,repetition_by_depth_interaction,-0.021750000000000047,encoder_specific,-0.025000000000000022,0.003249999999999975
correctness,ideal_shot,1,512,z,44,repetition_5_minus_1_at_depth2,0.07424999999999993,encoder_specific,0.07500000000000007,-0.0007500000000001394
correctness,ideal_shot,1,512,z,44,repetition_5_minus_1_at_depth6,0.06400000000000006,encoder_specific,0.06750000000000012,-0.0035000000000000586
correctness,ideal_shot,1,512,z,44,repetition_main_5_minus_1,0.06912499999999988,encoder_specific,0.07125000000000004,-0.0021250000000001545
correctness,ideal_shot,1,512,z,44,depth_6_minus_2_at_repetition1,0.044749999999999956,encoder_specific,0.05499999999999994,-0.010249999999999981
correctness,ideal_shot,1,512,z,44,depth_6_minus_2_at_repetition5,0.034500000000000086,encoder_specific,0.04749999999999999,-0.0129999999999999
correctness,ideal_shot,1,512,z,44,depth_main_6_minus_2,0.03962500000000002,encoder_specific,0.05125000000000002,-0.011624999999999996
correctness,ideal_shot,1,512,z,44,repetition_by_depth_interaction,-0.01024999999999987,encoder_specific,-0.007499999999999951,-0.002749999999999919
correctness,ideal_shot,1,512,z,45,repetition_5_minus_1_at_depth2,0.0655,encoder_specific,0.06999999999999995,-0.0044999999999999485
correctness,ideal_shot,1,512,z,45,repetition_5_minus_1_at_depth6,0.051000000000000045,encoder_specific,0.07250000000000001,-0.021499999999999964
correctness,ideal_shot,1,512,z,45,repetition_main_5_minus_1,0.058250000000000024,encoder_specific,0.07125000000000004,-0.013000000000000012
correctness,ideal_shot,1,512,z,45,depth_6_minus_2_at_repetition1,0.03374999999999995,encoder_specific,0.025000000000000022,0.008749999999999925
correctness,ideal_shot,1,512,z,45,depth_6_minus_2_at_repetition5,0.01924999999999999,encoder_specific,0.02750000000000008,-0.00825000000000009
correctness,ideal_shot,1,512,z,45,depth_main_6_minus_2,0.026499999999999968,encoder_specific,0.026250000000000107,0.00024999999999986144
correctness,ideal_shot,1,512,z,45,repetition_by_depth_interaction,-0.014499999999999957,encoder_specific,0.0025000000000000577,-0.017000000000000015
correctness,ideal_shot,1,512,zz,43,repetition_5_minus_1_at_depth2,0.008750000000000036,encoder_specific,0.03499999999999992,-0.026249999999999885
correctness,ideal_shot,1,512,zz,43,repetition_5_minus_1_at_depth6,0.05799999999999983,encoder_specific,0.06999999999999995,-0.012000000000000122
correctness,ideal_shot,1,512,zz,43,repetition_main_5_minus_1,0.03337499999999993,encoder_specific,0.05249999999999999,-0.01912500000000006
correctness,ideal_shot,1,512,zz,43,depth_6_minus_2_at_repetition1,0.021750000000000047,encoder_specific,0.02749999999999997,-0.005749999999999922
correctness,ideal_shot,1,512,zz,43,depth_6_minus_2_at_repetition5,0.07099999999999984,encoder_specific,0.0625,0.008499999999999841
correctness,ideal_shot,1,512,zz,43,depth_main_6_minus_2,0.046374999999999944,encoder_specific,0.04500000000000004,0.001374999999999904
correctness,ideal_shot,1,512,zz,43,repetition_by_depth_interaction,0.049249999999999794,encoder_specific,0.03500000000000003,0.014249999999999763
correctness,ideal_shot,1,512,zz,44,repetition_5_minus_1_at_depth2,0.01849999999999996,encoder_specific,0.019999999999999907,-0.0014999999999999458
correctness,ideal_shot,1,512,zz,44,repetition_5_minus_1_at_depth6,0.0542499999999998,encoder_specific,0.06499999999999995,-0.010750000000000148
correctness,ideal_shot,1,512,zz,44,repetition_main_5_minus_1,0.036374999999999824,encoder_specific,0.04249999999999987,-0.006125000000000047
correctness,ideal_shot,1,512,zz,44,depth_6_minus_2_at_repetition1,0.04775000000000007,encoder_specific,0.03749999999999998,0.010250000000000092
correctness,ideal_shot,1,512,zz,44,depth_6_minus_2_at_repetition5,0.08349999999999991,encoder_specific,0.08250000000000002,0.0009999999999998899
correctness,ideal_shot,1,512,zz,44,depth_main_6_minus_2,0.06562500000000004,encoder_specific,0.05999999999999994,0.005625000000000102
correctness,ideal_shot,1,512,zz,44,repetition_by_depth_interaction,0.03574999999999984,encoder_specific,0.04500000000000004,-0.009250000000000203
correctness,ideal_shot,1,512,zz,45,repetition_5_minus_1_at_depth2,0.04799999999999993,encoder_specific,0.04500000000000004,0.0029999999999998916
correctness,ideal_shot,1,512,zz,45,repetition_5_minus_1_at_depth6,0.06674999999999998,encoder_specific,0.08250000000000002,-0.015750000000000042
correctness,ideal_shot,1,512,zz,45,repetition_main_5_minus_1,0.057374999999999954,encoder_specific,0.06375000000000008,-0.0063750000000001306
correctness,ideal_shot,1,512,zz,45,depth_6_minus_2_at_repetition1,0.07225000000000004,encoder_specific,0.06750000000000012,0.004749999999999921
correctness,ideal_shot,1,512,zz,45,depth_6_minus_2_at_repetition5,0.09100000000000008,encoder_specific,0.1050000000000001,-0.014000000000000012
correctness,ideal_shot,1,512,zz,45,depth_main_6_minus_2,0.08162500000000006,encoder_specific,0.08625000000000016,-0.004625000000000101
correctness,ideal_shot,1,512,zz,45,repetition_by_depth_interaction,0.018750000000000044,encoder_specific,0.03749999999999998,-0.018749999999999933
correctness,noisy_shot,1,512,eff_su2,43,repetition_5_minus_1_at_depth2,0.028000000000000025,encoder_specific,0.03249999999999986,-0.0044999999999998375
correctness,noisy_shot,1,512,eff_su2,43,repetition_5_minus_1_at_depth6,0.05399999999999994,encoder_specific,0.07250000000000012,-0.018500000000000183
correctness,noisy_shot,1,512,eff_su2,43,repetition_main_5_minus_1,0.041000000000000036,encoder_specific,0.05249999999999999,-0.011499999999999955
correctness,noisy_shot,1,512,eff_su2,43,depth_6_minus_2_at_repetition1,0.011500000000000066,encoder_specific,0.012499999999999845,-0.0009999999999997788
