attack,mode,queries,shots,effect,fm_kind,scope,n_paired_units,n_model_seed_blocks,mean,sd,ci95_low,ci95_high,ci_method,bootstrap_replicates
correctness,exact,0,0,feature_z_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,0.04625000000000001,0.008196798155377504,0.03749999999999998,0.053749999999999964,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,feature_zz_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,0.06104166666666666,0.002366211810750088,0.05937500000000007,0.06374999999999997,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,feature_zz_minus_z,paired_feature_maps,paired_feature_map,3,3,0.014791666666666647,0.006741120703068082,0.010000000000000009,0.022499999999999964,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,repetition_5_minus_1_at_depth2,eff_su2,encoder_specific,3,3,0.04999999999999997,0.03250000000000004,0.030000000000000027,0.08750000000000002,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,repetition_5_minus_1_at_depth2,z,encoder_specific,3,3,0.07583333333333335,0.006291528696058985,0.06999999999999995,0.08250000000000002,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,repetition_5_minus_1_at_depth2,zz,encoder_specific,3,3,0.03333333333333329,0.012583057392117979,0.019999999999999907,0.04500000000000004,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,repetition_5_minus_1_at_depth6,eff_su2,encoder_specific,3,3,0.07166666666666673,0.008779711460710656,0.0625,0.08000000000000007,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,repetition_5_minus_1_at_depth6,z,encoder_specific,3,3,0.06583333333333337,0.007637626158259752,0.057499999999999996,0.07250000000000001,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,repetition_5_minus_1_at_depth6,zz,encoder_specific,3,3,0.07249999999999997,0.009013878188660012,0.06499999999999995,0.08250000000000002,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,repetition_by_depth_interaction,eff_su2,encoder_specific,3,3,0.02166666666666676,0.025535922410074328,-0.007499999999999951,0.04000000000000026,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,repetition_by_depth_interaction,z,encoder_specific,3,3,-0.009999999999999972,0.013919410907075096,-0.025000000000000022,0.0025000000000000577,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,repetition_by_depth_interaction,zz,encoder_specific,3,3,0.03916666666666668,0.005204164998665345,0.03500000000000003,0.04500000000000004,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,repetition_main_5_minus_1,eff_su2,encoder_specific,3,3,0.06083333333333337,0.020090939085402045,0.04625000000000001,0.0837500000000001,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,repetition_main_5_minus_1,z,encoder_specific,3,3,0.07083333333333337,0.0007216878364870169,0.07000000000000006,0.07125000000000004,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,repetition_main_5_minus_1,zz,encoder_specific,3,3,0.05291666666666665,0.010631125685144334,0.04249999999999987,0.06375000000000008,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition1,eff_su2,encoder_specific,3,3,-0.0001666666666666113,0.01725060385416507,-0.01749999999999996,0.017000000000000126,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition1,z,encoder_specific,3,3,0.05058333333333335,0.020385861113363296,0.03374999999999995,0.07325000000000015,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition1,zz,encoder_specific,3,3,0.04725000000000005,0.025253712598348778,0.021750000000000047,0.07225000000000004,percentile cluster bootstrap over trained model-seed blocks,10000
