outcome,attack,factor,contrast,block_id,block_effect,within_block_pairs
loss_gap,target_model,feature_map,ZZ - Z,wdbc_b02,-0.05191277246922251,2
loss_gap,target_model,feature_map,ZZ - Z,wdbc_b03,0.08605939429253333,2
loss_gap,target_model,feature_map,ZZ - Z,wdbc_b04,0.08724630624055861,2
loss_gap,target_model,feature_map,ZZ - Z,wdbc_b05,0.06486410833895204,2
auc,confidence,repetitions,5 - 1,wdbc_b01,-0.002304964539007156,3
auc,confidence,repetitions,5 - 1,wdbc_b02,-0.014098910840932103,3
auc,confidence,repetitions,5 - 1,wdbc_b03,-0.03526469098277618,3
auc,confidence,repetitions,5 - 1,wdbc_b04,-0.034014057750759906,3
auc,confidence,repetitions,5 - 1,wdbc_b05,-0.04131838905775078,3
auc,confidence,feature_map,Z - EfficientSU2,wdbc_b01,-0.0030965045592705742,2
auc,confidence,feature_map,Z - EfficientSU2,wdbc_b02,-0.02003229483282673,2
auc,confidence,feature_map,Z - EfficientSU2,wdbc_b03,0.004302811550151997,2
auc,confidence,feature_map,Z - EfficientSU2,wdbc_b04,0.0026073328267477436,2
auc,confidence,feature_map,Z - EfficientSU2,wdbc_b05,0.029730243161094322,2
auc,confidence,feature_map,ZZ - EfficientSU2,wdbc_b01,-0.0035714285714285587,2
auc,confidence,feature_map,ZZ - EfficientSU2,wdbc_b02,-0.03940444528875384,2
auc,confidence,feature_map,ZZ - EfficientSU2,wdbc_b03,-0.028837386018237043,2
auc,confidence,feature_map,ZZ - EfficientSU2,wdbc_b04,-0.0008406155015197869,2
auc,confidence,feature_map,ZZ - EfficientSU2,wdbc_b05,0.0007598784194528252,2
auc,confidence,feature_map,ZZ - Z,wdbc_b01,-0.0004749240121579845,2
auc,confidence,feature_map,ZZ - Z,wdbc_b02,-0.019372150455927106,2
auc,confidence,feature_map,ZZ - Z,wdbc_b03,-0.03314019756838904,2
auc,confidence,feature_map,ZZ - Z,wdbc_b04,-0.0034479483282675305,2
auc,confidence,feature_map,ZZ - Z,wdbc_b05,-0.028970364741641497,2
auc,correctness,repetitions,5 - 1,wdbc_b01,0.058051545086119594,3
auc,correctness,repetitions,5 - 1,wdbc_b02,0.023176291793313115,3
auc,correctness,repetitions,5 - 1,wdbc_b03,0.043639184397163154,3
auc,correctness,repetitions,5 - 1,wdbc_b04,0.008906408308004043,3
auc,correctness,repetitions,5 - 1,wdbc_b05,0.02416096757852082,3
auc,correctness,feature_map,Z - EfficientSU2,wdbc_b01,0.029336056231003077,2
auc,correctness,feature_map,Z - EfficientSU2,wdbc_b02,0.028158244680850986,2
auc,correctness,feature_map,Z - EfficientSU2,wdbc_b03,0.017895136778115495,2
auc,correctness,feature_map,Z - EfficientSU2,wdbc_b04,-0.012723214285714324,2
auc,correctness,feature_map,Z - EfficientSU2,wdbc_b05,-0.011322188449848059,2
auc,correctness,feature_map,ZZ - EfficientSU2,wdbc_b01,0.034075797872340385,2
auc,correctness,feature_map,ZZ - EfficientSU2,wdbc_b02,0.020355243161094216,2
auc,correctness,feature_map,ZZ - EfficientSU2,wdbc_b03,0.004772986322188477,2
auc,correctness,feature_map,ZZ - EfficientSU2,wdbc_b04,0.0032532294832826048,2
auc,correctness,feature_map,ZZ - EfficientSU2,wdbc_b05,-0.0018949468085106558,2
auc,correctness,feature_map,ZZ - Z,wdbc_b01,0.004739741641337308,2
auc,correctness,feature_map,ZZ - Z,wdbc_b02,-0.007803001519756769,2
auc,correctness,feature_map,ZZ - Z,wdbc_b03,-0.013122150455927017,2
auc,correctness,feature_map,ZZ - Z,wdbc_b04,0.01597644376899693,2
auc,correctness,feature_map,ZZ - Z,wdbc_b05,0.009427241641337403,2
auc,entropy,repetitions,5 - 1,wdbc_b01,-0.0022986322188450017,3
auc,entropy,repetitions,5 - 1,wdbc_b02,-0.01412107396149953,3
auc,entropy,repetitions,5 - 1,wdbc_b03,-0.03519503546099303,3
auc,entropy,repetitions,5 - 1,wdbc_b04,-0.03432117527862207,3
auc,entropy,repetitions,5 - 1,wdbc_b05,-0.04133105369807497,3
auc,entropy,feature_map,Z - EfficientSU2,wdbc_b01,-0.0030965045592705742,2
auc,entropy,feature_map,Z - EfficientSU2,wdbc_b02,-0.01999430091185403,2
auc,entropy,feature_map,Z - EfficientSU2,wdbc_b03,0.00413183890577512,2
auc,entropy,feature_map,Z - EfficientSU2,wdbc_b04,0.0027545592705166544,2
auc,entropy,feature_map,Z - EfficientSU2,wdbc_b05,0.029730243161094266,2
auc,entropy,feature_map,ZZ - EfficientSU2,wdbc_b01,-0.0035809270516717895,2
auc,entropy,feature_map,ZZ - EfficientSU2,wdbc_b02,-0.039409194528875396,2
auc,entropy,feature_map,ZZ - EfficientSU2,wdbc_b03,-0.028780395136778075,2
auc,entropy,feature_map,ZZ - EfficientSU2,wdbc_b04,-0.0005224164133738884,2
auc,entropy,feature_map,ZZ - EfficientSU2,wdbc_b05,0.0007788753799391757,2
auc,entropy,feature_map,ZZ - Z,wdbc_b01,-0.00048442249240121527,2
auc,entropy,feature_map,ZZ - Z,wdbc_b02,-0.019414893617021367,2
auc,entropy,feature_map,ZZ - Z,wdbc_b03,-0.032912234042553196,2
auc,entropy,feature_map,ZZ - Z,wdbc_b04,-0.003276975683890543,2
auc,entropy,feature_map,ZZ - Z,wdbc_b05,-0.02895136778115509,2
auc,loss,repetitions,5 - 1,wdbc_b01,0.05437563323201614,3
auc,loss,repetitions,5 - 1,wdbc_b02,0.03223467578520774,3
auc,loss,repetitions,5 - 1,wdbc_b03,0.01652735562310026,3
auc,loss,repetitions,5 - 1,wdbc_b04,-0.010787107396149964,3
auc,loss,repetitions,5 - 1,wdbc_b05,-0.006332320162107423,3
auc,loss,feature_map,Z - EfficientSU2,wdbc_b01,0.03756648936170215,2
auc,loss,feature_map,Z - EfficientSU2,wdbc_b02,0.01095174772036478,2
auc,loss,feature_map,Z - EfficientSU2,wdbc_b03,0.01596694528875381,2
auc,loss,feature_map,Z - EfficientSU2,wdbc_b04,0.007385068389057725,2
auc,loss,feature_map,Z - EfficientSU2,wdbc_b05,0.03753799392097254,2
auc,loss,feature_map,ZZ - EfficientSU2,wdbc_b01,0.013839285714285665,2
auc,loss,feature_map,ZZ - EfficientSU2,wdbc_b02,-0.028557180851063735,2
auc,loss,feature_map,ZZ - EfficientSU2,wdbc_b03,-0.018227583586626128,2
auc,loss,feature_map,ZZ - EfficientSU2,wdbc_b04,-0.0006791413373860022,2
auc,loss,feature_map,ZZ - EfficientSU2,wdbc_b05,0.011892097264437629,2
auc,loss,feature_map,ZZ - Z,wdbc_b01,-0.023727203647416484,2
auc,loss,feature_map,ZZ - Z,wdbc_b02,-0.039508928571428514,2
auc,loss,feature_map,ZZ - Z,wdbc_b03,-0.03419452887537994,2
auc,loss,feature_map,ZZ - Z,wdbc_b04,-0.008064209726443727,2
auc,loss,feature_map,ZZ - Z,wdbc_b05,-0.02564589665653491,2
auc,margin,repetitions,5 - 1,wdbc_b01,-0.0023081306990881587,3
auc,margin,repetitions,5 - 1,wdbc_b02,-0.014098910840932177,3
auc,margin,repetitions,5 - 1,wdbc_b03,-0.035179204660587715,3
auc,margin,repetitions,5 - 1,wdbc_b04,-0.03419136271529888,3
auc,margin,repetitions,5 - 1,wdbc_b05,-0.04132155521783185,3
auc,margin,feature_map,Z - EfficientSU2,wdbc_b01,-0.0030965045592705742,2
auc,margin,feature_map,Z - EfficientSU2,wdbc_b02,-0.0200227963525835,2
auc,margin,feature_map,Z - EfficientSU2,wdbc_b03,0.0041793313069908855,2
auc,margin,feature_map,Z - EfficientSU2,wdbc_b04,0.00275455927051671,2
auc,margin,feature_map,Z - EfficientSU2,wdbc_b05,0.029720744680851147,2
auc,margin,feature_map,ZZ - EfficientSU2,wdbc_b01,-0.0035666793313070544,2
auc,margin,feature_map,ZZ - EfficientSU2,wdbc_b02,-0.039413943768996956,2
auc,margin,feature_map,ZZ - EfficientSU2,wdbc_b03,-0.028851633738601806,2
auc,margin,feature_map,ZZ - EfficientSU2,wdbc_b04,-0.0007218844984802908,2
auc,margin,feature_map,ZZ - EfficientSU2,wdbc_b05,0.0007741261398176158,2
auc,margin,feature_map,ZZ - Z,wdbc_b01,-0.00047017477203648017,2
auc,margin,feature_map,ZZ - Z,wdbc_b02,-0.019391147416413457,2
auc,margin,feature_map,ZZ - Z,wdbc_b03,-0.03303096504559269,2
auc,margin,feature_map,ZZ - Z,wdbc_b04,-0.0034764437689970007,2
auc,margin,feature_map,ZZ - Z,wdbc_b05,-0.02894661854103353,2
auc,max_probability,repetitions,5 - 1,wdbc_b01,-0.002304964539007156,3
auc,max_probability,repetitions,5 - 1,wdbc_b02,-0.014098910840932103,3
auc,max_probability,repetitions,5 - 1,wdbc_b03,-0.03526469098277618,3
