experiment,dataset,architecture,structural_cell_id,role,risk_level,fm_kind,reps,depth,attack,auc_count,auc_mean,auc_std,balanced_accuracy_crossfit_count,balanced_accuracy_crossfit_mean,balanced_accuracy_crossfit_std,membership_advantage_crossfit_count,membership_advantage_crossfit_mean,membership_advantage_crossfit_std,crossfit_tpr_count,crossfit_tpr_mean,crossfit_tpr_std,crossfit_fpr_count,crossfit_fpr_mean,crossfit_fpr_std,error_bar_type
satml_wdbc_targeted,breast_cancer_wdbc,qnn,z_r5_d2,z_r5_d2,,z,5,2,loss,5,0.5641907294832826,0.03932530043176827,5,0.5579616261398177,0.039140727199333786,5,0.11592325227963529,0.07828145439866757,5,0.74875,0.07885905147793752,5,0.6328267477203647,0.05051448610466194,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,z_r5_d2,z_r5_d2,,z,5,2,margin,5,0.4921998480243161,0.014201937587055291,5,0.5038658814589666,0.02656278148842454,5,0.007731762917933105,0.05312556297684907,5,0.59375,0.21812410458268935,5,0.5860182370820668,0.1892863091313946,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,z_r5_d2,z_r5_d2,,z,5,2,max_probability,5,0.4921998480243161,0.014201937587055291,5,0.5038658814589666,0.02656278148842454,5,0.007731762917933105,0.05312556297684907,5,0.59375,0.21812410458268935,5,0.5860182370820668,0.1892863091313946,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,zz_r1_d2,zz_r1_d2,,zz,1,2,confidence,5,0.5144338905775075,0.012459664903637223,5,0.517262537993921,0.02906075250587146,5,0.034525075987841936,0.0581215050117429,5,0.32875,0.06797862715589363,5,0.29422492401215805,0.0821062609502544,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,zz_r1_d2,zz_r1_d2,,zz,1,2,correctness,5,0.5157199848024316,0.009886462487302378,5,0.5148689209726444,0.011352932303921856,5,0.029737841945288744,0.02270586460784374,5,0.95375,0.09658221886040927,5,0.9240121580547113,0.07858774148235807,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,zz_r1_d2,zz_r1_d2,,zz,1,2,entropy,5,0.5145858662613982,0.01266649603299084,5,0.5160467325227963,0.02713595667150778,5,0.0320934650455927,0.05427191334301555,5,0.32875,0.06797862715589363,5,0.2966565349544073,0.08117834893313965,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,zz_r1_d2,zz_r1_d2,,zz,1,2,loss,5,0.5172036474164134,0.01257183587589976,5,0.5073974164133739,0.025875333729893375,5,0.014794832826747723,0.05175066745978665,5,0.40750000000000003,0.14103412707568336,5,0.3927051671732523,0.13632820296240597,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,zz_r1_d2,zz_r1_d2,,zz,1,2,margin,5,0.5144813829787234,0.012516397941098045,5,0.5160467325227963,0.02713595667150778,5,0.0320934650455927,0.05427191334301555,5,0.32875,0.06797862715589363,5,0.2966565349544073,0.08117834893313965,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,zz_r1_d2,zz_r1_d2,,zz,1,2,max_probability,5,0.5144338905775075,0.012459664903637223,5,0.517262537993921,0.02906075250587146,5,0.034525075987841936,0.0581215050117429,5,0.32875,0.06797862715589363,5,0.29422492401215805,0.0821062609502544,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,zz_r5_d2,zz_r5_d2,,zz,5,2,confidence,5,0.4662215045592705,0.025711831963493945,5,0.4733415653495441,0.02283580501204834,5,-0.05331686930091184,0.045671610024096636,5,0.6287499999999999,0.207128809560621,5,0.6820668693009118,0.18483142469736633,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,zz_r5_d2,zz_r5_d2,,zz,5,2,correctness,5,0.5571998480243161,0.018700711773982928,5,0.5571998480243161,0.01870071177398288,5,0.1143996960486322,0.03740142354796571,5,0.9375,0.025387620014487387,5,0.8231003039513677,0.046066434509624485,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,zz_r5_d2,zz_r5_d2,,zz,5,2,entropy,5,0.4662196048632219,0.025713171639676666,5,0.4733415653495441,0.02283580501204834,5,-0.05331686930091184,0.045671610024096636,5,0.6287499999999999,0.207128809560621,5,0.6820668693009118,0.18483142469736633,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,zz_r5_d2,zz_r5_d2,,zz,5,2,loss,5,0.5194167933130699,0.03256013108122135,5,0.5519946808510638,0.03262293175151055,5,0.10398936170212766,0.06524586350302107,5,0.9125,0.039774756441743296,5,0.8085106382978724,0.038447144804478764,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,zz_r5_d2,zz_r5_d2,,zz,5,2,margin,5,0.4662196048632219,0.025713171639676666,5,0.4733415653495441,0.02283580501204834,5,-0.05331686930091184,0.045671610024096636,5,0.6287499999999999,0.207128809560621,5,0.6820668693009118,0.18483142469736633,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,zz_r5_d2,zz_r5_d2,,zz,5,2,max_probability,5,0.4662215045592705,0.025711831963493945,5,0.4733415653495441,0.02283580501204834,5,-0.05331686930091184,0.045671610024096636,5,0.6287499999999999,0.207128809560621,5,0.6820668693009118,0.18483142469736633,mean ± sample SD across independent target-model seeds; fixed data seed
