outcome,attack,fm_kind,reps,contrast,block_id,block_effect
valid_acc,target_model,z,1,alpha 2.0 - alpha 1.0,credit_b04,-0.009999990463256836
valid_acc,target_model,z,1,alpha 2.0 - alpha 1.0,credit_b05,-0.009999990463256836
valid_acc,target_model,z,5,alpha 0.5 - alpha 1.0,credit_b01,0.009999990463256836
valid_acc,target_model,z,5,alpha 0.5 - alpha 1.0,credit_b02,0.004999995231628418
valid_acc,target_model,z,5,alpha 0.5 - alpha 1.0,credit_b03,0.004999995231628418
valid_acc,target_model,z,5,alpha 0.5 - alpha 1.0,credit_b04,0.02499997615814209
valid_acc,target_model,z,5,alpha 0.5 - alpha 1.0,credit_b05,0.05500000715255737
valid_acc,target_model,z,5,alpha 2.0 - alpha 1.0,credit_b01,-0.034999966621398926
valid_acc,target_model,z,5,alpha 2.0 - alpha 1.0,credit_b02,-0.07999998331069946
valid_acc,target_model,z,5,alpha 2.0 - alpha 1.0,credit_b03,-0.05500000715255737
valid_acc,target_model,z,5,alpha 2.0 - alpha 1.0,credit_b04,-0.009999990463256836
valid_acc,target_model,z,5,alpha 2.0 - alpha 1.0,credit_b05,0.025000035762786865
valid_acc,target_model,zz,1,alpha 0.5 - alpha 1.0,credit_b01,-0.004999995231628418
valid_acc,target_model,zz,1,alpha 0.5 - alpha 1.0,credit_b02,0.0
valid_acc,target_model,zz,1,alpha 0.5 - alpha 1.0,credit_b03,0.0
valid_acc,target_model,zz,1,alpha 0.5 - alpha 1.0,credit_b04,-0.020000040531158447
valid_acc,target_model,zz,1,alpha 0.5 - alpha 1.0,credit_b05,0.009999990463256836
valid_acc,target_model,zz,1,alpha 2.0 - alpha 1.0,credit_b01,-0.019999980926513672
valid_acc,target_model,zz,1,alpha 2.0 - alpha 1.0,credit_b02,0.04000002145767212
valid_acc,target_model,zz,1,alpha 2.0 - alpha 1.0,credit_b03,-0.019999980926513672
valid_acc,target_model,zz,1,alpha 2.0 - alpha 1.0,credit_b04,-0.004999995231628418
valid_acc,target_model,zz,1,alpha 2.0 - alpha 1.0,credit_b05,-0.019999980926513672
valid_acc,target_model,zz,5,alpha 0.5 - alpha 1.0,credit_b01,0.004999995231628418
valid_acc,target_model,zz,5,alpha 0.5 - alpha 1.0,credit_b02,-0.04000002145767212
valid_acc,target_model,zz,5,alpha 0.5 - alpha 1.0,credit_b03,0.039999961853027344
valid_acc,target_model,zz,5,alpha 0.5 - alpha 1.0,credit_b04,0.019999980926513672
valid_acc,target_model,zz,5,alpha 0.5 - alpha 1.0,credit_b05,0.050000011920928955
valid_acc,target_model,zz,5,alpha 2.0 - alpha 1.0,credit_b01,-0.04499995708465576
valid_acc,target_model,zz,5,alpha 2.0 - alpha 1.0,credit_b02,-0.030000030994415283
valid_acc,target_model,zz,5,alpha 2.0 - alpha 1.0,credit_b03,0.014999985694885254
valid_acc,target_model,zz,5,alpha 2.0 - alpha 1.0,credit_b04,-0.08000004291534424
valid_acc,target_model,zz,5,alpha 2.0 - alpha 1.0,credit_b05,0.020000040531158447
