effective_defense,structural_role,attack,outcome,count,mean,std
hamp_output,high,loss,tpr_at_5_fpr,1,0.13,
hamp_output,high,loss,tpr_at_10_fpr,1,0.17,
hamp_output,high,margin,auc,1,0.4306,
hamp_output,high,margin,balanced_accuracy,1,0.495,
hamp_output,high,margin,tpr_at_5_fpr,1,0.06,
hamp_output,high,margin,tpr_at_10_fpr,1,0.07,
hamp_output,high,maximum_probability,auc,1,0.4306,
hamp_output,high,maximum_probability,balanced_accuracy,1,0.495,
hamp_output,high,maximum_probability,tpr_at_5_fpr,1,0.06,
hamp_output,high,maximum_probability,tpr_at_10_fpr,1,0.07,
hamp_output,low,confidence,auc,1,0.5385000000000001,
hamp_output,low,confidence,balanced_accuracy,1,0.5,
hamp_output,low,confidence,tpr_at_5_fpr,1,0.09,
hamp_output,low,confidence,tpr_at_10_fpr,1,0.12,
hamp_output,low,correctness,auc,1,0.525,
hamp_output,low,correctness,balanced_accuracy,1,0.525,
hamp_output,low,correctness,tpr_at_5_fpr,1,0.0,
hamp_output,low,correctness,tpr_at_10_fpr,1,0.0,
hamp_output,low,entropy,auc,1,0.4633,
hamp_output,low,entropy,balanced_accuracy,1,0.475,
hamp_output,low,entropy,tpr_at_5_fpr,1,0.02,
hamp_output,low,entropy,tpr_at_10_fpr,1,0.06,
hamp_output,low,learned_pv_stats_logistic,auc,1,0.4785999999999999,
hamp_output,low,learned_pv_stats_logistic,balanced_accuracy,1,0.495,
hamp_output,low,learned_pv_stats_logistic,tpr_at_5_fpr,1,0.04,
hamp_output,low,learned_pv_stats_logistic,tpr_at_10_fpr,1,0.05,
hamp_output,low,loss,auc,1,0.5385000000000001,
hamp_output,low,loss,balanced_accuracy,1,0.5,
hamp_output,low,loss,tpr_at_5_fpr,1,0.09,
hamp_output,low,loss,tpr_at_10_fpr,1,0.12,
hamp_output,low,margin,auc,1,0.4633,
hamp_output,low,margin,balanced_accuracy,1,0.475,
hamp_output,low,margin,tpr_at_5_fpr,1,0.02,
hamp_output,low,margin,tpr_at_10_fpr,1,0.06,
hamp_output,low,maximum_probability,auc,1,0.4633,
hamp_output,low,maximum_probability,balanced_accuracy,1,0.475,
hamp_output,low,maximum_probability,tpr_at_5_fpr,1,0.02,
hamp_output,low,maximum_probability,tpr_at_10_fpr,1,0.06,
hamp_train,high,confidence,auc,1,0.586,
hamp_train,high,confidence,balanced_accuracy,1,0.61,
hamp_train,high,confidence,tpr_at_5_fpr,1,0.03,
hamp_train,high,confidence,tpr_at_10_fpr,1,0.13,
hamp_train,high,correctness,auc,1,0.56,
hamp_train,high,correctness,balanced_accuracy,1,0.56,
hamp_train,high,correctness,tpr_at_5_fpr,1,0.0,
hamp_train,high,correctness,tpr_at_10_fpr,1,0.0,
hamp_train,high,entropy,auc,1,0.5861000000000001,
hamp_train,high,entropy,balanced_accuracy,1,0.605,
hamp_train,high,entropy,tpr_at_5_fpr,1,0.03,
