attack,effective_defense,baseline_defense,outcome,contrast,mean_difference_in_differences,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
lira_offline_fixed_variance,l2,none,auc,(high-low)_defense-(high-low)_none,0.062000000000000055,0.0,0.062000000000000055,0.062000000000000055,1
lira_offline_fixed_variance,l2+dynanoise,none,auc,(high-low)_defense-(high-low)_none,-0.02040000000000003,0.0,-0.02040000000000003,-0.02040000000000003,1
lira_offline_fixed_variance,l2+memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,-0.036700000000000066,0.0,-0.036700000000000066,-0.036700000000000066,1
lira_offline_fixed_variance,l2+memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,0.06309999999999999,0.0,0.06309999999999999,0.06309999999999999,1
lira_offline_fixed_variance,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,0.023799999999999932,0.0,0.023799999999999932,0.023799999999999932,1
lira_offline_fixed_variance,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,0.027599999999999847,0.0,0.027599999999999847,0.027599999999999847,1
lira_online,dynanoise,none,auc,(high-low)_defense-(high-low)_none,0.043500000000000094,0.0,0.043500000000000094,0.043500000000000094,1
lira_online,l2,none,auc,(high-low)_defense-(high-low)_none,-0.09749999999999992,0.0,-0.09749999999999992,-0.09749999999999992,1
lira_online,l2+dynanoise,none,auc,(high-low)_defense-(high-low)_none,-0.019999999999999907,0.0,-0.019999999999999907,-0.019999999999999907,1
lira_online,l2+memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,-0.08089999999999986,0.0,-0.08089999999999986,-0.08089999999999986,1
lira_online,l2+memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,0.01600000000000007,0.0,0.01600000000000007,0.01600000000000007,1
lira_online,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,0.046800000000000064,0.0,0.046800000000000064,0.046800000000000064,1
lira_online,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,0.042400000000000215,0.0,0.042400000000000215,0.042400000000000215,1
lira_online_fixed_variance,dynanoise,none,auc,(high-low)_defense-(high-low)_none,-0.10320000000000001,0.0,-0.10320000000000001,-0.10320000000000001,1
lira_online_fixed_variance,l2,none,auc,(high-low)_defense-(high-low)_none,-0.2183000000000001,0.0,-0.2183000000000001,-0.2183000000000001,1
lira_online_fixed_variance,l2+dynanoise,none,auc,(high-low)_defense-(high-low)_none,-0.08870000000000017,0.0,-0.08870000000000017,-0.08870000000000017,1
lira_online_fixed_variance,l2+memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,-0.26449999999999996,0.0,-0.26449999999999996,-0.26449999999999996,1
lira_online_fixed_variance,l2+memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,-0.25499999999999995,0.0,-0.25499999999999995,-0.25499999999999995,1
lira_online_fixed_variance,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,-0.07840000000000008,0.0,-0.07840000000000008,-0.07840000000000008,1
lira_online_fixed_variance,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,-0.04209999999999986,0.0,-0.04209999999999986,-0.04209999999999986,1
loss,dp_qml,none,auc,(high-low)_defense-(high-low)_none,0.020900000000000196,0.0,0.020900000000000196,0.020900000000000196,1
loss,dynanoise,none,auc,(high-low)_defense-(high-low)_none,0.0029000000000001247,0.0,0.0029000000000001247,0.0029000000000001247,1
loss,hamp_full,none,auc,(high-low)_defense-(high-low)_none,-0.04569999999999985,0.0,-0.04569999999999985,-0.04569999999999985,1
loss,hamp_output,none,auc,(high-low)_defense-(high-low)_none,-0.02739999999999998,0.0,-0.02739999999999998,-0.02739999999999998,1
loss,hamp_train,none,auc,(high-low)_defense-(high-low)_none,-0.03679999999999983,0.0,-0.03679999999999983,-0.03679999999999983,1
loss,l2,none,auc,(high-low)_defense-(high-low)_none,-0.15269999999999984,0.0,-0.15269999999999984,-0.15269999999999984,1
loss,lattice_round,none,auc,(high-low)_defense-(high-low)_none,-0.003649999999999931,0.0,-0.003649999999999931,-0.003649999999999931,1
loss,logitguard_continuous,none,auc,(high-low)_defense-(high-low)_none,0.028300000000000214,0.0,0.028300000000000214,0.028300000000000214,1
loss,logitguard_quantized,none,auc,(high-low)_defense-(high-low)_none,0.03230000000000016,0.0,0.03230000000000016,0.03230000000000016,1
loss,measurementguard_continuous,none,auc,(high-low)_defense-(high-low)_none,0.008700000000000152,0.0,0.008700000000000152,0.008700000000000152,1
loss,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,-0.0805499999999999,0.0,-0.0805499999999999,-0.0805499999999999,1
loss,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,0.06285000000000018,0.0,0.06285000000000018,0.06285000000000018,1
loss,memguard,none,auc,(high-low)_defense-(high-low)_none,0.09060000000000035,0.0,0.09060000000000035,0.09060000000000035,1
margin,dp_qml,none,auc,(high-low)_defense-(high-low)_none,-0.20400000000000007,0.0,-0.20400000000000007,-0.20400000000000007,1
margin,dynanoise,none,auc,(high-low)_defense-(high-low)_none,-0.14860000000000007,0.0,-0.14860000000000007,-0.14860000000000007,1
margin,hamp_full,none,auc,(high-low)_defense-(high-low)_none,-0.17160000000000014,0.0,-0.17160000000000014,-0.17160000000000014,1
margin,hamp_output,none,auc,(high-low)_defense-(high-low)_none,-0.2102000000000001,0.0,-0.2102000000000001,-0.2102000000000001,1
margin,hamp_train,none,auc,(high-low)_defense-(high-low)_none,-0.1886000000000001,0.0,-0.1886000000000001,-0.1886000000000001,1
margin,l2,none,auc,(high-low)_defense-(high-low)_none,-0.22980000000000012,0.0,-0.22980000000000012,-0.22980000000000012,1
margin,lattice_round,none,auc,(high-low)_defense-(high-low)_none,0.0007499999999999174,0.0,0.0007499999999999174,0.0007499999999999174,1
margin,logitguard_continuous,none,auc,(high-low)_defense-(high-low)_none,-0.24980000000000008,0.0,-0.24980000000000008,-0.24980000000000008,1
margin,logitguard_quantized,none,auc,(high-low)_defense-(high-low)_none,-0.25235000000000013,0.0,-0.25235000000000013,-0.25235000000000013,1
margin,measurementguard_continuous,none,auc,(high-low)_defense-(high-low)_none,-0.15770000000000012,0.0,-0.15770000000000012,-0.15770000000000012,1
margin,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,-0.19795000000000013,0.0,-0.19795000000000013,-0.19795000000000013,1
margin,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,-0.1613500000000001,0.0,-0.1613500000000001,-0.1613500000000001,1
margin,memguard,none,auc,(high-low)_defense-(high-low)_none,-0.14950000000000008,0.0,-0.14950000000000008,-0.14950000000000008,1
maximum_probability,dp_qml,none,auc,(high-low)_defense-(high-low)_none,-0.20400000000000007,0.0,-0.20400000000000007,-0.20400000000000007,1
maximum_probability,dynanoise,none,auc,(high-low)_defense-(high-low)_none,-0.14860000000000007,0.0,-0.14860000000000007,-0.14860000000000007,1
maximum_probability,hamp_full,none,auc,(high-low)_defense-(high-low)_none,-0.17160000000000014,0.0,-0.17160000000000014,-0.17160000000000014,1
maximum_probability,hamp_output,none,auc,(high-low)_defense-(high-low)_none,-0.2102000000000001,0.0,-0.2102000000000001,-0.2102000000000001,1
maximum_probability,hamp_train,none,auc,(high-low)_defense-(high-low)_none,-0.1886000000000001,0.0,-0.1886000000000001,-0.1886000000000001,1
maximum_probability,l2,none,auc,(high-low)_defense-(high-low)_none,-0.22980000000000012,0.0,-0.22980000000000012,-0.22980000000000012,1
maximum_probability,lattice_round,none,auc,(high-low)_defense-(high-low)_none,0.0007499999999999174,0.0,0.0007499999999999174,0.0007499999999999174,1
maximum_probability,logitguard_continuous,none,auc,(high-low)_defense-(high-low)_none,-0.24980000000000008,0.0,-0.24980000000000008,-0.24980000000000008,1
maximum_probability,logitguard_quantized,none,auc,(high-low)_defense-(high-low)_none,-0.25235000000000013,0.0,-0.25235000000000013,-0.25235000000000013,1
maximum_probability,measurementguard_continuous,none,auc,(high-low)_defense-(high-low)_none,-0.15770000000000012,0.0,-0.15770000000000012,-0.15770000000000012,1
maximum_probability,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,-0.19795000000000013,0.0,-0.19795000000000013,-0.19795000000000013,1
maximum_probability,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,-0.1613500000000001,0.0,-0.1613500000000001,-0.1613500000000001,1
maximum_probability,memguard,none,auc,(high-low)_defense-(high-low)_none,-0.14950000000000008,0.0,-0.14950000000000008,-0.14950000000000008,1
