target_id,mode,aggregation,attack,simulator_seed,contrast,treatment_queries,treatment_shots,baseline_queries,baseline_shots,auc_difference
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,1,single_shot_2560_minus_128,1,2560,1,128,-0.02499999999999991
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,1,repeat_5x128_minus_1x128,5,128,1,128,-0.02749999999999997
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,1,repeat_20x128_minus_1x128,20,128,1,128,-0.03499999999999992
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,1,equal_total_5x512_minus_1x2560,5,512,1,2560,0.007499999999999951
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,1,equal_total_20x128_minus_1x2560,20,128,1,2560,-0.010000000000000009
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,2,single_shot_512_minus_128,1,512,1,128,0.01750000000000007
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,2,single_shot_2560_minus_128,1,2560,1,128,0.0025000000000001688
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,2,repeat_5x128_minus_1x128,5,128,1,128,0.02750000000000019
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,2,repeat_20x128_minus_1x128,20,128,1,128,0.032500000000000084
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,2,equal_total_5x512_minus_1x2560,5,512,1,2560,0.004999999999999893
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,2,equal_total_20x128_minus_1x2560,20,128,1,2560,0.029999999999999916
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,3,single_shot_512_minus_128,1,512,1,128,0.007500000000000062
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,3,single_shot_2560_minus_128,1,2560,1,128,-0.0024999999999999467
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,3,repeat_5x128_minus_1x128,5,128,1,128,-0.014999999999999902
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,3,repeat_20x128_minus_1x128,20,128,1,128,-0.014999999999999902
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,3,equal_total_5x512_minus_1x2560,5,512,1,2560,0.0
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,3,equal_total_20x128_minus_1x2560,20,128,1,2560,-0.012499999999999956
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,4,single_shot_512_minus_128,1,512,1,128,0.010000000000000009
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,4,single_shot_2560_minus_128,1,2560,1,128,-0.004999999999999893
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,4,repeat_5x128_minus_1x128,5,128,1,128,0.007500000000000062
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,4,repeat_20x128_minus_1x128,20,128,1,128,0.0
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,4,equal_total_5x512_minus_1x2560,5,512,1,2560,-0.015000000000000013
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,4,equal_total_20x128_minus_1x2560,20,128,1,2560,0.004999999999999893
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,5,single_shot_512_minus_128,1,512,1,128,-0.004999999999999893
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,5,single_shot_2560_minus_128,1,2560,1,128,-0.0024999999999998357
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,5,repeat_5x128_minus_1x128,5,128,1,128,-0.012499999999999956
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,5,repeat_20x128_minus_1x128,20,128,1,128,-0.007499999999999951
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,5,equal_total_5x512_minus_1x2560,5,512,1,2560,-0.02000000000000013
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,5,equal_total_20x128_minus_1x2560,20,128,1,2560,-0.0050000000000001155
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,6,single_shot_512_minus_128,1,512,1,128,0.02499999999999991
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,6,single_shot_2560_minus_128,1,2560,1,128,-0.01749999999999996
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,6,repeat_5x128_minus_1x128,5,128,1,128,-0.007500000000000062
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,6,repeat_20x128_minus_1x128,20,128,1,128,0.0
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,6,equal_total_5x512_minus_1x2560,5,512,1,2560,0.019999999999999907
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,6,equal_total_20x128_minus_1x2560,20,128,1,2560,0.01749999999999996
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,7,single_shot_512_minus_128,1,512,1,128,-0.022500000000000075
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,7,single_shot_2560_minus_128,1,2560,1,128,-0.010000000000000009
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,7,repeat_5x128_minus_1x128,5,128,1,128,0.014999999999999902
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,7,repeat_20x128_minus_1x128,20,128,1,128,-0.0050000000000001155
