target_id,structural_cell_id,fm_kind,reps,depth,model_seed,mode,queries,shots,total_shots,aggregation,attack,n_simulator_seeds,mean_auc,sd_simulator
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,128,128,mean_api_probabilities,correctness,10,0.52975,0.018121886705797986
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,128,128,mean_api_probabilities,entropy,10,0.51418375,0.029554685689084138
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,128,128,mean_api_probabilities,learned_mlp_pv,10,0.5110775000000001,0.029384932008882855
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,128,128,mean_api_probabilities,learned_mlp_pv_mean_std,10,0.526305,0.03295054754223872
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,128,128,mean_api_probabilities,loss,10,0.5371125,0.020603209869931527
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,128,128,mean_api_probabilities,margin,10,0.511055,0.02526311760474372
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,512,512,mean_api_probabilities,confidence,10,0.5177400000000001,0.015152255974313245
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,512,512,mean_api_probabilities,correctness,10,0.5275000000000001,0.01290994448735804
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,512,512,mean_api_probabilities,entropy,10,0.5163175,0.017162827442858387
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,512,512,mean_api_probabilities,learned_mlp_pv,10,0.510065,0.022810040430574562
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_mean_std,10,0.527185,0.03358301736824069
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,512,512,mean_api_probabilities,loss,10,0.543845,0.01671999717570418
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,512,512,mean_api_probabilities,margin,10,0.52193,0.013175976666308686
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,2560,2560,mean_api_probabilities,confidence,10,0.5375650000000001,0.0067700340553877554
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,2560,2560,mean_api_probabilities,correctness,10,0.52225,0.009534294823309074
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,2560,2560,mean_api_probabilities,entropy,10,0.5342024999999999,0.006747318911982811
